company_id,type,rule_id,text,confidence_pct
ABB,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80.2
ABB,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.7
ABB,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.7
ABB,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ABB,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77.0
ABB,con,C13_fallback,"Stock trades at a premium to sector median P/E, reflecting high market expectations already priced in",65.0
ADANIENSOL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.9
ADANIENSOL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.7
ADANIENSOL,con,C01,Debt-to-equity ratio of 2.9 is elevated for a non-financial company and warrants monitoring,74.7
ADANIENSOL,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
ADANIENSOL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77.1
ADANIENSOL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,86.8
ADANIENT,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.0
ADANIENT,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.8
ADANIENT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,87.0
ADANIENT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ADANIENT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,91.8
ADANIENT,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77.0
ADANIENT,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,79.9
ADANIGREEN,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
ADANIGREEN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,97.2
ADANIGREEN,con,C01,Debt-to-equity ratio of 6.6 is elevated for a non-financial company and warrants monitoring,93.0
ADANIGREEN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77.8
ADANIGREEN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,98.3
ADANIPORTS,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.6
ADANIPORTS,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86.7
ADANIPORTS,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ADANIPORTS,con,C13_fallback,"Stock trades at a premium to sector median P/E, reflecting high market expectations already priced in",65.0
ADANIPOWER,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,86.9
ADANIPOWER,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
ADANIPOWER,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.1
ADANIPOWER,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,75.6
ADANIPOWER,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ADANIPOWER,con,C15_fallback,Free cash flow conversion below 100% of operating profit means some reported profit is not yet converting to cash,63.0
AMBUJACEM,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.3
AMBUJACEM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77.5
AMBUJACEM,con,C15_fallback,Free cash flow conversion below 100% of operating profit means some reported profit is not yet converting to cash,63.0
APOLLOHOSP,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
APOLLOHOSP,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,86.1
APOLLOHOSP,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,73.7
APOLLOHOSP,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85.0
APOLLOHOSP,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,86.5
APOLLOHOSP,con,C13_fallback,"Stock trades at a premium to sector median P/E, reflecting high market expectations already priced in",65.0
ASIANPAINT,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,76.1
ASIANPAINT,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
ASIANPAINT,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70.3
ASIANPAINT,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ASIANPAINT,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71.3
ASIANPAINT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.0
ASIANPAINT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ASIANPAINT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72.2
ASIANPAINT,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
ATGL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.1
ATGL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.9
ATGL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,70.5
ATGL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79.6
ATGL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67.8
ATGL,con,C13_fallback,"Stock trades at a premium to sector median P/E, reflecting high market expectations already priced in",65.0
AXISBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.8
AXISBANK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,89.7
AXISBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90.1
AXISBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,89.9
AXISBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82.5
AXISBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BAJAJ-AUTO,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,72.6
BAJAJ-AUTO,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
BAJAJ-AUTO,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJ-AUTO,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,74.8
BAJAJ-AUTO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,66.2
BAJAJ-AUTO,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
BAJAJFINSV,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,74.3
BAJAJFINSV,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.0
BAJAJFINSV,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,76.0
BAJAJFINSV,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.7
BAJAJFINSV,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75.6
BAJAJFINSV,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67.8
BAJAJFINSV,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,80.0
BAJAJFINSV,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
BAJAJHLDNG,pro,P03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,85.0
BAJAJHLDNG,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86.6
BAJAJHLDNG,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJAJHLDNG,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
